Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.17,-0.3,-0.05,-0.4,-0.12,-0.01,-0.81,-0.52,-0.31,-0.13,-0.11,-0.04,0.05,0.68
1881,-0.09,-0.19,0,-0.37,0.11,-0.07,-0.93,-0.49,-0.21,0.11,0.1,-0.05,-0.07,0.6
